timestamp,height,x_speed,y_speed,z_speed,pitch,roll,yaw,temperature,distance,barometer,flight_time,battery,mp_distance_x,mp_distance_y,mp_distance_z,frame.number,frame.len,frame.protocols,wlan.duration,wlan.ra,wlan.ta,wlan.da,wlan.sa,wlan.bssid,wlan.frag,wlan.seq,llc.type,ip.hdr_len,ip.len,ip.id,ip.flags,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq_raw,tcp.ack_raw,tcp.hdr_len,tcp.flags,tcp.window_size,tcp.options,udp.srcport,udp.dstport,udp.length,data.data,data.len,wlan.fc.type,wlan.fc.subtype,time_since_last_packet,class
16385.31522,80,0,0,0,0,0,0,61,84,19169,7,93,6,6,87,629,26,0,162,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.0,0.102667,replay
16385.83494,80,0,0,0,-1,0,0,61,85,19174,7,93,5,7,87,629,26,0,162,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.0,0.102667,replay
16386.36499,80,0,0,0,-1,0,0,61,84,19172,8,93,4,10,87,661,227,3,44,0,1,0,1,0,0,79,2048,20,193,80,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,173,36,165,2,8.0,0.067338,replay
16386.88261,80,0,0,0,-1,0,0,61,83,19170,8,93,5,9,87,665,26,0,162,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.0,0.204006,replay
16387.41194,80,0,0,0,-1,0,0,61,83,19168,9,93,6,10,86,669,26,0,162,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.0,0.103074,replay
16387.92853,80,0,0,0,0,0,0,61,83,19171,9,93,5,9,86,677,26,0,162,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.0,0.001825,replay
16388.45845,80,0,0,0,0,0,0,60,83,19166,10,93,5,10,86,677,26,0,162,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.0,0.001825,replay
16388.97507,80,0,-1,0,-1,-1,0,60,82,19165,10,93,5,10,86,705,26,0,162,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.0,0.072494,replay
16389.50676,80,0,0,0,0,0,0,62,81,19161,11,93,4,8,84,705,26,0,162,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.0,0.072494,replay
16390.02172,80,0,0,0,0,0,0,62,80,19158,11,93,4,5,84,750,86,2,44,1,0,1,0,0,0,126,2048,20,52,3965,64,128,6,2,4,62694,53,2962362611,0,32,2,64240,1,0,0,0,0,0,2,8.0,0.035428,replay
