timestamp_c,frame.number,frame.len,wlan.ta,wlan.sa,wlan.ra,wlan.da,wlan.bssid,wlan.duration,wlan.frag,wlan.seq,wlan.fc.type,wlan.fc.subtype,wlan.flags,wlan.fcs,wlan.fcs.status,wlan.qos,wlan.qos.priority,wlan.qos.ack,wlan.ccmp.extiv,wlan.wep.key,data.len,radiotap.hdr_length,radiotap.antenna_signal,radiotap.signal_quality,radiotap.channel.flags.ofdm,radiotap.channel.flags.cck,wlan_radio.datarate,wlan_radio.channel,wlan_radio.frequency,wlan_radio.signal_strength (dbm),wlan_radio.Noise level (dbm),wlan_radio.SNR (db),wlan_radio.preamble,class
1693963539,1,140,0,0,41,41,0,0,0,1561,0,8,0,3250454999,2,0,0,0,0,0,0,32,-86,100,0,1,1,2,2417,-86,0,0,192,FDI
1693963539,3,134,0,0,15,15,0,320,0,1562,0,5,0,1980100656,2,0,0,0,0,0,0,32,-68,100,0,1,1,2,2417,-68,0,0,192,FDI
1693963539,4,134,0,0,15,15,0,320,0,1562,0,5,8,2992310796,2,0,0,0,0,0,0,32,-78,100,0,1,1,2,2417,-78,0,0,192,FDI
1693963539,5,134,0,0,15,15,0,320,0,1562,0,5,8,1260420132,2,0,0,0,0,0,0,32,-78,100,0,1,1,2,2417,-78,0,0,192,FDI
1693963539,6,60,2,2,8,8,0,344,0,171,2,4,17,699611704,2,0,0,0,0,0,0,32,-32,45,1,0,24,2,2417,-32,0,0,20,FDI
1693963540,7,140,0,0,41,41,0,0,0,1563,0,8,0,203746533,2,0,0,0,0,0,0,32,-82,100,0,1,1,2,2417,-82,0,0,192,FDI
1693963540,8,62,1,1,8,8,0,60,0,0,2,12,1,2671372690,2,0,0,0,0,0,0,32,-36,51,1,0,6,2,2417,-36,0,0,20,FDI
1693963540,10,60,2,2,8,8,0,44,0,2989,2,4,1,2919272324,2,0,0,0,0,0,0,32,-34,87,1,0,24,2,2417,-34,0,0,20,FDI
1693963540,12,140,0,0,41,41,0,0,0,1564,0,8,0,2797764313,2,0,0,0,0,0,0,32,-82,100,0,1,1,2,2417,-82,0,0,192,FDI
1693963540,13,62,1,1,8,8,0,60,0,0,2,12,1,2671372690,2,0,0,0,0,0,0,32,-36,51,1,0,6,2,2417,-36,0,0,20,FDI
1693963540,15,60,2,2,8,8,0,44,0,2990,2,4,1,1900460407,2,0,0,0,0,0,0,32,-34,81,1,0,24,2,2417,-34,0,0,20,FDI
1693963540,17,140,0,0,41,41,0,0,0,1565,0,8,0,3512866055,2,0,0,0,0,0,0,32,-56,100,0,1,1,2,2417,-56,0,0,192,FDI
1693963540,18,62,1,1,8,8,0,60,0,0,2,12,1,2671372690,2,0,0,0,0,0,0,32,-36,45,1,0,6,2,2417,-36,0,0,20,FDI
